Clone Overlap for Change version-31, vim.c, c, 39, 39: 1 (CloneClass: 6)
Clone Overlap for Change version-31, vim.c, c, 56, 56: 1 (CloneClass: 6)
Clone Overlap for Change version-33, vstring.c, c, 48, 50: 1 (CloneClass: 55)
Clone Overlap for Change version-33, vstring.c, c, 52, 54: 1 (CloneClass: 55)
Clone Overlap for Change version-36, readtags.c, c, 106, 106: 1 (CloneClass: 23)
Clone Overlap for Change version-36, readtags.c, c, 109, 110: 1 (CloneClass: 23)
Clone Overlap for Change version-36, readtags.c, c, 120, 121: 1 (CloneClass: 47)
Clone Overlap for Change version-36, readtags.c, c, 244, 271: 1 (CloneClass: 14)
Clone Overlap for Change version-36, readtags.c, c, 273, 273: 1 (CloneClass: 14)
Clone Overlap for Change version-36, readtags.c, c, 277, 277: 2 (CloneClass: 14, 45)
Clone Overlap for Change version-36, readtags.c, c, 387, 387: 1 (CloneClass: 43)
Clone Overlap for Change version-36, readtags.c, c, 389, 390: 1 (CloneClass: 43)
Clone Overlap for Change version-36, readtags.c, c, 397, 397: 1 (CloneClass: 43)
Clone Overlap for Change version-36, readtags.c, c, 399, 400: 1 (CloneClass: 43)
Clone Overlap for Change version-36, readtags.c, c, 402, 402: 1 (CloneClass: 43)
Clone Overlap for Change version-36, readtags.c, c, 404, 405: 1 (CloneClass: 43)
Clone Overlap for Change version-36, readtags.c, c, 407, 407: 1 (CloneClass: 43)
Clone Overlap for Change version-36, readtags.c, c, 409, 410: 1 (CloneClass: 43)
Clone Overlap for Change version-38, readtags.c, c, 387, 387: 1 (CloneClass: 54)
Clone Overlap for Change version-38, readtags.c, c, 415, 415: 1 (CloneClass: 40)
Clone Overlap for Change version-38, readtags.c, c, 418, 418: 1 (CloneClass: 40)
Clone Overlap for Change version-64, readtags.c, c, 316, 317: 1 (CloneClass: 21)
Clone Overlap for Change version-64, readtags.c, c, 324, 325: 1 (CloneClass: 21)
Clone Overlap for Change version-64, readtags.c, c, 336, 336: 1 (CloneClass: 43)
Clone Overlap for Change version-64, readtags.c, c, 339, 339: 1 (CloneClass: 43)
Clone Overlap for Change version-87, eiffel.c, c, 463, 463: 1 (CloneClass: 13)
Clone Overlap for Change version-87, eiffel.c, c, 481, 481: 2 (CloneClass: 13, 33)
Clone Overlap for Change version-87, eiffel.c, c, 525, 526: 1 (CloneClass: 48)
Clone Overlap for Change version-87, eiffel.c, c, 529, 529: 1 (CloneClass: 48)
Clone Overlap for Change version-87, eiffel.c, c, 544, 549: 2 (CloneClass: 45, 49)
Clone Overlap for Change version-87, eiffel.c, c, 556, 556: 1 (CloneClass: 48)
Clone Overlap for Change version-87, eiffel.c, c, 588, 588: 1 (CloneClass: 3)
Clone Overlap for Change version-88, eiffel.c, a, 335, 335: 1 (CloneClass: 10)
Clone Overlap for Change version-88, eiffel.c, a, 343, 343: 1 (CloneClass: 16)
