Clone Overlap for Change version-33, vstring.c, c, 48, 50: 1 (CloneClass: 55)
Clone Overlap for Change version-33, vstring.c, c, 52, 54: 1 (CloneClass: 55)
Clone Overlap for Change version-36, readtags.c, c, 106, 106: 1 (CloneClass: 23)
Clone Overlap for Change version-36, readtags.c, c, 244, 271: 1 (CloneClass: 14)
Clone Overlap for Change version-36, readtags.c, c, 387, 387: 1 (CloneClass: 43)
Clone Overlap for Change version-36, readtags.c, c, 397, 397: 1 (CloneClass: 43)
Clone Overlap for Change version-36, readtags.c, c, 402, 402: 1 (CloneClass: 43)
Clone Overlap for Change version-36, readtags.c, c, 407, 407: 1 (CloneClass: 43)
Clone Overlap for Change version-38, readtags.c, c, 415, 415: 1 (CloneClass: 40)
Clone Overlap for Change version-64, readtags.c, c, 316, 317: 1 (CloneClass: 21)
Clone Overlap for Change version-64, readtags.c, c, 324, 325: 1 (CloneClass: 21)
Clone Overlap for Change version-64, readtags.c, c, 339, 339: 1 (CloneClass: 43)
Clone Overlap for Change version-87, eiffel.c, c, 463, 463: 1 (CloneClass: 13)
Clone Overlap for Change version-87, eiffel.c, c, 481, 481: 2 (CloneClass: 13, 33)
Clone Overlap for Change version-87, eiffel.c, c, 525, 526: 1 (CloneClass: 48)
Clone Overlap for Change version-87, eiffel.c, c, 529, 529: 1 (CloneClass: 48)
Clone Overlap for Change version-87, eiffel.c, c, 544, 549: 2 (CloneClass: 45, 49)
Clone Overlap for Change version-88, eiffel.c, c, 452, 455: 1 (CloneClass: 44)
Clone Overlap for Change version-88, eiffel.c, a, 466, 466: 1 (CloneClass: 11)
Clone Overlap for Change version-88, eiffel.c, c, 474, 475: 1 (CloneClass: 11)
Clone Overlap for Change version-88, eiffel.c, a, 476, 476: 1 (CloneClass: 11)
Clone Overlap for Change version-88, eiffel.c, a, 479, 479: 1 (CloneClass: 31)
Clone Overlap for Change version-88, eiffel.c, c, 483, 484: 2 (CloneClass: 11, 31)
Clone Overlap for Change version-88, eiffel.c, a, 501, 501: 1 (CloneClass: 3)
Clone Overlap for Change version-88, eiffel.c, d, 561, 565: 1 (CloneClass: 44)
Clone Overlap for Change version-88, eiffel.c, c, 588, 588: 1 (CloneClass: 3)
Clone Overlap for Change version-88, eiffel.c, c, 605, 606: 1 (CloneClass: 3)
Clone Overlap for Change version-88, eiffel.c, c, 650, 650: 1 (CloneClass: 12)
Clone Overlap for Change version-95, asp.c, c, 29, 29: 1 (CloneClass: 7)
Clone Overlap for Change version-95, asp.c, c, 40, 40: 1 (CloneClass: 7)
Clone Overlap for Change version-95, asp.c, c, 51, 51: 1 (CloneClass: 8)
Clone Overlap for Change version-95, asp.c, c, 62, 62: 1 (CloneClass: 8)
Clone Overlap for Change version-95, strlist.c, c, 99, 100: 1 (CloneClass: 24)
Clone Overlap for Change version-141, vstring.c, a, 35, 35: 1 (CloneClass: 22)
Clone Overlap for Change version-146, asm.c, c, 73, 73: 1 (CloneClass: 1)
Clone Overlap for Change version-160, python.c, c, 14, 31: 1 (CloneClass: 8)
Clone Overlap for Change version-160, python.c, c, 37, 43: 3 (CloneClass: 8)
Clone Overlap for Change version-160, python.c, c, 48, 60: 4 (CloneClass: 8, 17, 53)
Clone Overlap for Change version-162, readtags.c, c, 340, 340: 1 (CloneClass: 41)
Clone Overlap for Change version-189, readtags.c, c, 443, 443: 1 (CloneClass: 20)
Clone Overlap for Change version-189, readtags.c, a, 448, 448: 1 (CloneClass: 20)
Clone Overlap for Change version-201, vim.c, c, 23, 23: 1 (CloneClass: 53)
Clone Overlap for Change version-212, tcl.c, c, 20, 21: 1 (CloneClass: 7)
Clone Overlap for Change version-212, tcl.c, c, 24, 29: 1 (CloneClass: 7)
Clone Overlap for Change version-213, c.c, a, 714, 714: 1 (CloneClass: 30)
Clone Overlap for Change version-213, c.c, c, 1156, 1156: 1 (CloneClass: 38)
Clone Overlap for Change version-217, c.c, a, 486, 486: 1 (CloneClass: 1)
Clone Overlap for Change version-217, c.c, a, 1449, 1449: 1 (CloneClass: 44)
Clone Overlap for Change version-234, asp.c, a, 71, 71: 1 (CloneClass: 10)
Clone Overlap for Change version-240, c.c, c, 1574, 1574: 1 (CloneClass: 34)
Clone Overlap for Change version-242, c.c, a, 540, 540: 1 (CloneClass: 1)
Clone Overlap for Change version-242, c.c, a, 1575, 1575: 1 (CloneClass: 36)
Clone Overlap for Change version-242, c.c, a, 1679, 1679: 1 (CloneClass: 14)
Clone Overlap for Change version-248, vim.c, c, 23, 23: 1 (CloneClass: 62)
Clone Overlap for Change version-251, readtags.c, c, 456, 456: 1 (CloneClass: 30)
Clone Overlap for Change version-251, readtags.c, c, 489, 489: 1 (CloneClass: 30)
Clone Overlap for Change version-257, vim.c, a, 54, 54: 1 (CloneClass: 8)
Clone Overlap for Change version-264, erlang.c, c, 34, 35: 1 (CloneClass: 15)
Clone Overlap for Change version-264, erlang.c, c, 43, 45: 2 (CloneClass: 15, 33)
Clone Overlap for Change version-264, erlang.c, c, 50, 51: 1 (CloneClass: 33)
Clone Overlap for Change version-264, erlang.c, c, 57, 67: 1 (CloneClass: 15)
Clone Overlap for Change version-286, c.c, c, 573, 574: 1 (CloneClass: 1)
Clone Overlap for Change version-330, sql.c, d, 309, 315: 1 (CloneClass: 47)
Clone Overlap for Change version-330, sql.c, c, 322, 324: 2 (CloneClass: 2, 4)
Clone Overlap for Change version-330, sql.c, c, 337, 338: 3 (CloneClass: 2, 4, 6)
Clone Overlap for Change version-340, verilog.c, d, 71, 83: 1 (CloneClass: 35)
Clone Overlap for Change version-368, c.c, c, 1648, 1648: 1 (CloneClass: 40)
Clone Overlap for Change version-388, sml.c, c, 111, 111: 1 (CloneClass: 54)
Clone Overlap for Change version-389, sml.c, c, 114, 118: 1 (CloneClass: 18)
Clone Overlap for Change version-390, sml.c, c, 111, 111: 1 (CloneClass: 57)
